# elem_id    node_id        X            Y            Z         Damage        N_failure
     2679          1  -1.560580E-01  -1.996880E-02   2.814500E-02   0.000000E+00   1.797693+308
     2717          2  -1.547870E-01  -2.320860E-02   3.101120E-02   0.000000E+00   1.797693+308
     1930          3  -1.513800E-01  -2.541980E-02   3.296740E-02   0.000000E+00   1.797693+308
     2792          4  -1.469180E-01  -2.590030E-02   3.339250E-02   0.000000E+00   1.797693+308
     1935          5  -1.428170E-01  -2.449760E-02   3.215160E-02   0.000000E+00   1.797693+308
     1034          6  -1.403800E-01  -2.165700E-02   2.963860E-02   0.000000E+00   1.797693+308
     5805          7  -1.403800E-01  -1.828050E-02   2.665140E-02   0.000000E+00   1.797693+308
     2566          8  -1.428170E-01  -1.543990E-02   2.413840E-02   0.000000E+00   1.797693+308
     2571          9  -1.469180E-01  -1.403720E-02   2.289750E-02   0.000000E+00   1.797693+308
     6214         10  -1.513800E-01  -1.451770E-02   2.332260E-02   0.000000E+00   1.797693+308
     6210         11  -1.547870E-01  -1.672890E-02   2.527880E-02   0.000000E+00   1.797693+308
     2827         12  -1.443850E-01  -2.568620E-02   3.659440E-02   0.000000E+00   1.797693+308
     1088         13  -1.490350E-01  -2.614660E-02   3.700170E-02   0.000000E+00   1.797693+308
     1678         14  -1.534920E-01  -2.505000E-02   3.603160E-02   0.000000E+00   1.797693+308
     1079         15  -1.568730E-01  -2.261370E-02   3.387620E-02   0.000000E+00   1.797693+308
     5089         16  -1.585070E-01  -1.932020E-02   3.096260E-02   0.000000E+00   1.797693+308
     6495         17  -1.580710E-01  -1.582180E-02   2.786760E-02   0.000000E+00   1.797693+308
     6497         18  -1.556520E-01  -1.281140E-02   2.520440E-02   0.000000E+00   1.797693+308
     2547         19  -1.517290E-01  -1.088530E-02   2.350040E-02   0.000000E+00   1.797693+308
     2540         20  -1.470780E-01  -1.042490E-02   2.309310E-02   0.000000E+00   1.797693+308
     2565         21  -1.426210E-01  -1.152150E-02   2.406320E-02   0.000000E+00   1.797693+308
     2643         22  -1.392410E-01  -1.395780E-02   2.621860E-02   0.000000E+00   1.797693+308
     2645         23  -1.376060E-01  -1.725130E-02   2.913220E-02   0.000000E+00   1.797693+308
     1041         24  -1.380420E-01  -2.074970E-02   3.222720E-02   0.000000E+00   1.797693+308
     2829         25  -1.404610E-01  -2.376010E-02   3.489040E-02   0.000000E+00   1.797693+308
     1910         26  -1.533910E-01  -1.996880E-02   2.814500E-02   0.000000E+00   1.797693+308
     1930         27  -1.513820E-01  -2.309220E-02   3.090820E-02   0.000000E+00   1.797693+308
     1935         28  -1.468700E-01  -2.386360E-02   3.159070E-02   1.714841E-06   1.797693+308
     1908         29  -1.432510E-01  -2.170210E-02   2.967850E-02   5.067165E-06   1.797693+308
     1908         30  -1.432510E-01  -1.823540E-02   2.661150E-02   0.000000E+00   1.797693+308
     2580         31  -1.468700E-01  -1.607390E-02   2.469930E-02   0.000000E+00   1.797693+308
     6217         32  -1.513820E-01  -1.684530E-02   2.538180E-02   0.000000E+00   1.797693+308
     2782         33  -1.380350E-01  -1.107470E-02   4.312930E-02   0.000000E+00   1.797693+308
     2846         34  -1.443850E-01  -1.715550E-02   4.623710E-02   0.000000E+00   1.797693+308
     2845         35  -1.404260E-01  -1.478740E-02   4.498700E-02   0.000000E+00   1.797693+308
     5715         36  -1.380350E-01  -6.180680E-03   3.879970E-02   0.000000E+00   1.797693+308
     2782         37  -1.375200E-01  -8.430740E-03   4.118710E-02   0.000000E+00   1.797693+308
     2654         38  -1.443850E-01  -2.354630E-03   3.314310E-02   0.000000E+00   1.797693+308
     2653         39  -1.404260E-01  -3.884410E-03   3.534120E-02   0.000000E+00   1.797693+308
     1970         40  -1.488180E-01  -1.762940E-02   4.665630E-02   0.000000E+00   1.797693+308
     1943         41  -1.531150E-01  -1.668180E-02   4.581800E-02   0.000000E+00   1.797693+308
     1943         42  -1.564980E-01  -1.448380E-02   4.387350E-02   0.000000E+00   1.797693+308
     1922         43  -1.583570E-01  -1.143220E-02   4.117390E-02   0.000000E+00   1.797693+308
     1902         44  -1.583570E-01  -8.077910E-03   3.820640E-02   0.000000E+00   1.797693+308
     2521         45  -1.564980E-01  -5.026330E-03   3.550670E-02   0.000000E+00   1.797693+308
      581         46  -1.531150E-01  -2.828370E-03   3.356220E-02   0.000000E+00   1.797693+308
      573         47  -1.488180E-01  -1.880780E-03   3.272390E-02   0.000000E+00   1.797693+308
     2677         48  -1.533910E-01  -2.516920E-02   2.226660E-02   0.000000E+00   1.797693+308
     2718         49  -1.513820E-01  -2.829270E-02   2.502980E-02   0.000000E+00   1.797693+308
     1950         50  -1.468700E-01  -2.906410E-02   2.571230E-02   1.838083E-06   1.797693+308
     1909         51  -1.432510E-01  -2.690260E-02   2.380010E-02   2.464238E-05   1.797693+308
     1909         52  -1.432510E-01  -2.343590E-02   2.073310E-02   2.015628E-05   1.797693+308
     2569         53  -1.468700E-01  -2.127440E-02   1.882090E-02   0.000000E+00   1.797693+308
     2545         54  -1.513820E-01  -2.204580E-02   1.950340E-02   0.000000E+00   1.797693+308
     6203         55  -1.560580E-01   1.903120E-02  -6.357300E-03   0.000000E+00   1.797693+308
     2295         56  -1.547870E-01   1.579140E-02  -3.491120E-03   0.000000E+00   1.797693+308
     2345         57  -1.513800E-01   1.358020E-02  -1.534920E-03   0.000000E+00   1.797693+308
     2345         58  -1.469180E-01   1.309960E-02  -1.109800E-03   0.000000E+00   1.797693+308
     5770         59  -1.428170E-01   1.450230E-02  -2.350730E-03   0.000000E+00   1.797693+308
     1871         60  -1.403800E-01   1.734290E-02  -4.863710E-03   0.000000E+00   1.797693+308
     1867         61  -1.403800E-01   2.071950E-02  -7.850890E-03   0.000000E+00   1.797693+308
     1858         62  -1.428170E-01   2.356000E-02  -1.036390E-02   0.000000E+00   1.797693+308
     6206         63  -1.469180E-01   2.496270E-02  -1.160480E-02   0.000000E+00   1.797693+308
     1850         64  -1.513800E-01   2.448220E-02  -1.117970E-02   0.000000E+00   1.797693+308
     1854         65  -1.547870E-01   2.227100E-02  -9.223480E-03   0.000000E+00   1.797693+308
     1726         66  -1.443850E-01   1.331370E-02   2.092090E-03   0.000000E+00   1.797693+308
     1724         67  -1.490350E-01   1.285340E-02   2.499380E-03   0.000000E+00   1.797693+308
     2283         68  -1.534920E-01   1.394990E-02   1.529280E-03   0.000000E+00   1.797693+308
     2242         69  -1.568730E-01   1.638620E-02  -6.260620E-04   0.000000E+00   1.797693+308
     2211         70  -1.585070E-01   1.967970E-02  -3.539750E-03   0.000000E+00   1.797693+308
     5741         71  -1.580710E-01   2.317810E-02  -6.634700E-03   0.000000E+00   1.797693+308
     5741         72  -1.556520E-01   2.618850E-02  -9.297910E-03   0.000000E+00   1.797693+308
     2222         73  -1.517290E-01   2.811460E-02  -1.100190E-02   0.000000E+00   1.797693+308
     1241         74  -1.470780E-01   2.857500E-02  -1.140920E-02   0.000000E+00   1.797693+308
     5750         75  -1.426210E-01   2.747850E-02  -1.043910E-02   0.000000E+00   1.797693+308
     5750         76  -1.392410E-01   2.504220E-02  -8.283750E-03   0.000000E+00   1.797693+308
     5524         77  -1.376060E-01   2.174860E-02  -5.370060E-03   0.000000E+00   1.797693+308
     2433         78  -1.380420E-01   1.825020E-02  -2.275120E-03   0.000000E+00   1.797693+308
     5017         79  -1.404610E-01   1.523990E-02   3.880960E-04   0.000000E+00   1.797693+308
     1854         80  -1.532130E-01   1.903120E-02  -6.357300E-03   0.000000E+00   1.797693+308
     1853         81  -1.512710E-01   2.205050E-02  -9.028420E-03   0.000000E+00   1.797693+308
     1858         82  -1.469090E-01   2.279620E-02  -9.688140E-03   0.000000E+00   1.797693+308
     1858         83  -1.434110E-01   2.070680E-02  -7.839660E-03   0.000000E+00   1.797693+308
     1867         84  -1.434110E-01   1.735560E-02  -4.874940E-03   0.000000E+00   1.797693+308
     1874         85  -1.469090E-01   1.526620E-02  -3.026460E-03   0.000000E+00   1.797693+308
     2357         86  -1.512710E-01   1.601190E-02  -3.686180E-03   0.000000E+00   1.797693+308
     1855         87  -1.532130E-01   1.383070E-02  -1.223570E-02   0.000000E+00   1.797693+308
     2240         88  -1.512710E-01   1.685000E-02  -1.490680E-02   0.000000E+00   1.797693+308
     1862         89  -1.469090E-01   1.759570E-02  -1.556650E-02   0.000000E+00   1.797693+308
     1862         90  -1.434110E-01   1.550630E-02  -1.371810E-02   0.000000E+00   1.797693+308
     1870         91  -1.434110E-01   1.215510E-02  -1.075330E-02   0.000000E+00   1.797693+308
     2426         92  -1.469090E-01   1.006570E-02  -8.904860E-03   0.000000E+00   1.797693+308
     1855         93  -1.512710E-01   1.081140E-02  -9.564570E-03   0.000000E+00   1.797693+308
     5711         94  -1.380350E-01   2.792530E-02   8.626960E-03   0.000000E+00   1.797693+308
     1866         95  -1.443850E-01   2.184440E-02   1.173480E-02   0.000000E+00   1.797693+308
     1866         96  -1.404260E-01   2.421250E-02   1.048470E-02   0.000000E+00   1.797693+308
     2361         97  -1.380350E-01   3.281930E-02   4.297370E-03   0.000000E+00   1.797693+308
     2463         98  -1.375200E-01   3.056920E-02   6.684770E-03   0.000000E+00   1.797693+308
     1218         99  -1.443850E-01   3.664530E-02  -1.359200E-03   0.000000E+00   1.797693+308
     1218        100  -1.404260E-01   3.511550E-02   8.389230E-04   0.000000E+00   1.797693+308
     2301        101  -1.488180E-01   2.137060E-02   1.215400E-02   0.000000E+00   1.797693+308
     2194        102  -1.531150E-01   2.231820E-02   1.131570E-02   0.000000E+00   1.797693+308
     1809        103  -1.564980E-01   2.451610E-02   9.371210E-03   0.000000E+00   1.797693+308
     1809        104  -1.583570E-01   2.756770E-02   6.671550E-03   0.000000E+00   1.797693+308
     1758        105  -1.583570E-01   3.092200E-02   3.704050E-03   0.000000E+00   1.797693+308
     1764        106  -1.564980E-01   3.397360E-02   1.004400E-03   0.000000E+00   1.797693+308
     1764        107  -1.531150E-01   3.617160E-02  -9.400880E-04   0.000000E+00   1.797693+308
     5699        108  -1.488180E-01   3.711920E-02  -1.778400E-03   0.000000E+00   1.797693+308
     6003        109  -8.001000E-03  -2.333610E-02   3.112400E-02   0.000000E+00   1.797693+308
     5729        110  -6.730870E-03  -2.657590E-02   3.399020E-02   0.000000E+00   1.797693+308
