# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
    5088        1 -1.560580E-01  -1.996880E-02   2.814500E-02 -1.718910E+08   1.219850E+07  -3.981580E+07  1.396630E+07  -5.383620E+06   6.494490E+07
    1910        2 -1.547870E-01  -2.320860E-02   3.101120E-02 -1.859950E+08  -6.892000E+07  -4.181380E+07 -8.794930E+07   3.550270E+07   5.891970E+07
    1930        3 -1.513800E-01  -2.541980E-02   3.296740E-02 -1.018840E+08  -1.515000E+08  -6.549040E+07 -1.007060E+08   8.981320E+07   7.925580E+07
    1937        4 -1.469180E-01  -2.590030E-02   3.339250E-02  4.852120E+06  -1.527210E+08  -6.132370E+07 -5.934940E+07   9.535640E+07   6.678900E+07
    2736        5 -1.428170E-01  -2.449760E-02   3.215160E-02  2.143370E+08  -1.890900E+07   4.276080E+07  3.107180E+07   4.370650E+07   8.188000E+07
    1034        6 -1.403800E-01  -2.165700E-02   2.963860E-02  2.731800E+08   7.415630E+07   4.802440E+07  1.170000E+08   3.093100E+07   1.083220E+08
    5805        7 -1.403800E-01  -1.828050E-02   2.665140E-02  3.407290E+08   1.625820E+08   8.553390E+07  1.572080E+08  -3.618050E+06   3.182240E+07
    2566        8 -1.428170E-01  -1.543990E-02   2.413840E-02  2.180250E+08   2.726410E+08   5.489480E+07  1.622980E+08  -4.536150E+06   3.106180E+07
    2571        9 -1.469180E-01  -1.403720E-02   2.289750E-02  1.282170E+08   2.032380E+08   5.090160E+07  1.120790E+08  -5.421250E+07  -4.535000E+07
    6214       10 -1.513800E-01  -1.451770E-02   2.332260E-02  1.394010E+07   1.075840E+08   4.631940E+07  8.431830E+07  -3.565970E+07  -7.333190E+07
    6218       11 -1.547870E-01  -1.672890E-02   2.527880E-02 -1.852820E+08   2.643340E+07  -7.625860E+06 -1.012180E+07  -2.136350E+07  -1.050110E+07
    1090       12 -1.443850E-01  -2.568620E-02   3.659440E-02  8.815200E+07   4.275560E+07   7.650510E+07  4.293390E+07   4.238440E+07   7.104110E+07
    1088       13 -1.490350E-01  -2.614660E-02   3.700170E-02  7.272830E+07   2.638180E+07   5.866060E+07  2.438010E+07   3.172250E+07   5.268060E+07
    1678       14 -1.534920E-01  -2.505000E-02   3.603160E-02  4.989000E+07   2.193570E+07   6.030520E+07  2.118770E+05   1.815810E+07   3.645780E+07
    1080       15 -1.568730E-01  -2.261370E-02   3.387620E-02 -6.729610E+06   2.906150E+07   1.008070E+07 -1.120830E+07  -3.352600E+06   2.205350E+07
    5096       16 -1.585070E-01  -1.932020E-02   3.096260E-02  5.873750E+06   7.233330E+07   1.270560E+07 -8.972620E+06  -2.871790E+06   4.731230E+06
    6495       17 -1.580710E-01  -1.582180E-02   2.786760E-02 -2.077810E+06   7.703540E+07  -1.227180E+06  2.515710E+07  -3.716380E+06   5.263610E+06
    6497       18 -1.556520E-01  -1.281140E-02   2.520440E-02  1.460780E+07   9.754750E+07   2.555640E+06  3.988010E+07   2.398420E+06   1.002510E+07
    2547       19 -1.517290E-01  -1.088530E-02   2.350040E-02  2.266120E+07   1.196540E+08   1.660560E+06  5.127230E+07  -4.424500E+06   9.268900E+05
    2540       20 -1.470780E-01  -1.042490E-02   2.309310E-02  5.277810E+07   1.136400E+08   2.985750E+07  5.941900E+07   2.363100E+07   2.632530E+07
    2565       21 -1.426210E-01  -1.152150E-02   2.406320E-02  8.798460E+07   1.479320E+08   5.003830E+07  7.381950E+07   3.145590E+07   3.188480E+07
    2643       22 -1.392410E-01  -1.395780E-02   2.621860E-02  7.522990E+07   9.921660E+07   4.965100E+07  5.737200E+07   4.655930E+07   3.567350E+07
