# elem_id    node_id        X            Y            Z         Damage        N_failure
     4839          1  -1.560580E-01  -1.996880E-02   2.814500E-02   0.000000E+00   1.797693+308
     4757          2  -1.555170E-01  -2.213350E-02   3.006010E-02   0.000000E+00   1.797693+308
     4778          3  -1.539690E-01  -2.400590E-02   3.171660E-02   1.268539E-06   1.797693+308
    17399          4  -1.516230E-01  -2.533310E-02   3.289070E-02   4.014027E-06   1.797693+308
     4746          5  -1.487950E-01  -2.593570E-02   3.342390E-02   1.000000E+00   3.522517E+04
     6273          6  -1.458670E-01  -2.573250E-02   3.324410E-02   1.000000E+00   5.671068E+04
     4766          7  -1.432350E-01  -2.475090E-02   3.237570E-02   1.000000E+00   2.109172E+04
     2478          8  -1.412540E-01  -2.312340E-02   3.093590E-02   1.000000E+00   2.593621E+04
    11108          9  -1.401920E-01  -2.106990E-02   2.911920E-02   1.000000E+00   4.742027E+02
    10527         10  -1.401920E-01  -1.886760E-02   2.717090E-02   1.000000E+00   2.501741E+02
    18310         11  -1.412540E-01  -1.681410E-02   2.535420E-02   1.000000E+00   3.218135E+03
    17660         12  -1.432350E-01  -1.518660E-02   2.391440E-02   1.000000E+00   8.708174E+03
    17725         13  -1.458670E-01  -1.420500E-02   2.304590E-02   3.267279E-01   1.797693+308
    11014         14  -1.487950E-01  -1.400180E-02   2.286620E-02   0.000000E+00   1.797693+308
    20258         15  -1.516230E-01  -1.460440E-02   2.339930E-02   0.000000E+00   1.797693+308
     4926         16  -1.539690E-01  -1.593160E-02   2.457340E-02   0.000000E+00   1.797693+308
     4959         17  -1.555170E-01  -1.780400E-02   2.622990E-02   0.000000E+00   1.797693+308
    10778         18  -1.443850E-01  -2.568620E-02   3.659440E-02   2.246411E-01   1.797693+308
     7008         19  -1.471870E-01  -2.615380E-02   3.700800E-02   2.178120E-06   1.797693+308
     6338         20  -1.500530E-01  -2.603780E-02   3.690540E-02   0.000000E+00   1.797693+308
     7042         21  -1.527720E-01  -2.534690E-02   3.629420E-02   0.000000E+00   1.797693+308
    19848         22  -1.551400E-01  -2.413230E-02   3.521970E-02   0.000000E+00   1.797693+308
     7871         23  -1.569840E-01  -2.248410E-02   3.376150E-02   0.000000E+00   1.797693+308
     7871         24  -1.581650E-01  -2.052450E-02   3.202800E-02   0.000000E+00   1.797693+308
     6522         25  -1.585970E-01  -1.839890E-02   3.014750E-02   0.000000E+00   1.797693+308
     5326         26  -1.582460E-01  -1.626490E-02   2.825960E-02   0.000000E+00   1.797693+308
     5322         27  -1.571410E-01  -1.428070E-02   2.650430E-02   0.000000E+00   1.797693+308
     5323         28  -1.553610E-01  -1.259360E-02   2.501170E-02   0.000000E+00   1.797693+308
     7012         29  -1.530400E-01  -1.132870E-02   2.389270E-02   0.000000E+00   1.797693+308
    20258         30  -1.503490E-01  -1.057970E-02   2.323010E-02   0.000000E+00   1.797693+308
     6178         31  -1.474880E-01  -1.040230E-02   2.307310E-02   0.000000E+00   1.797693+308
     6180         32  -1.446690E-01  -1.080950E-02   2.343340E-02   7.613590E-06   1.797693+308
     5798         33  -1.421020E-01  -1.177130E-02   2.428420E-02   6.230584E-06   1.797693+308
     5799         34  -1.399760E-01  -1.321610E-02   2.556240E-02   9.993036E-01   1.797693+308
    18317         35  -1.384490E-01  -1.503700E-02   2.717330E-02   2.743536E-01   1.797693+308
    20282         36  -1.376350E-01  -1.709880E-02   2.899730E-02   1.000000E+00   1.095219E+04
    18403         37  -1.375940E-01  -1.924860E-02   3.089920E-02   1.000000E+00   7.780169E+04
    11109         38  -1.383290E-01  -2.132700E-02   3.273800E-02   1.000000E+00   7.412050E+02
    11113         39  -1.397850E-01  -2.317990E-02   3.437710E-02   1.000000E+00   4.265192E+03
    11115         40  -1.418550E-01  -2.466980E-02   3.569520E-02   5.402208E-01   1.797693+308
     4958         41  -1.533910E-01  -1.996880E-02   2.814500E-02   1.096646E-06   1.797693+308
     4778         42  -1.526760E-01  -2.196630E-02   2.991220E-02   4.922508E-05   1.797693+308
     4746         43  -1.507240E-01  -2.342850E-02   3.120580E-02   1.000000E+00   4.177301E+02
     6273         44  -1.480570E-01  -2.396380E-02   3.167930E-02   1.000000E+00   7.022427E-01
     6273         45  -1.453900E-01  -2.342850E-02   3.120580E-02   1.000000E+00   6.870485E-01
     4766         46  -1.434370E-01  -2.196630E-02   2.991220E-02   1.000000E+00   6.885740E-01
    19813         47  -1.427230E-01  -1.996880E-02   2.814500E-02   1.000000E+00   1.087684E+03
     4688         48  -1.434370E-01  -1.797120E-02   2.637790E-02   6.757747E-01   1.797693+308
     5476         49  -1.453900E-01  -1.650900E-02   2.508420E-02   1.119150E-05   1.797693+308
     5189         50  -1.480570E-01  -1.597370E-02   2.461070E-02   2.748967E-06   1.797693+308
     6363         51  -1.507240E-01  -1.650900E-02   2.508420E-02   6.902943E-07   1.797693+308
     4926         52  -1.526760E-01  -1.797120E-02   2.637790E-02   0.000000E+00   1.797693+308
     5831         53  -1.380350E-01  -1.107470E-02   4.312930E-02   0.000000E+00   1.797693+308
     5264         54  -1.443850E-01  -1.715550E-02   4.623710E-02   0.000000E+00   1.797693+308
     8601         55  -1.390050E-01  -1.301840E-02   4.417370E-02   0.000000E+00   1.797693+308
     8597         56  -1.404260E-01  -1.478740E-02   4.498700E-02   0.000000E+00   1.797693+308
    17429         57  -1.422410E-01  -1.622400E-02   4.565630E-02   0.000000E+00   1.797693+308
    17460         58  -1.380350E-01  -6.180680E-03   3.879970E-02   0.000000E+00   1.797693+308
    17833         59  -1.375780E-01  -7.621270E-03   4.042650E-02   0.000000E+00   1.797693+308
     7017         60  -1.375780E-01  -9.284380E-03   4.189780E-02   0.000000E+00   1.797693+308
     4984         61  -1.443850E-01  -2.354630E-03   3.314310E-02   0.000000E+00   1.797693+308
     7746         62  -1.422410E-01  -3.044840E-03   3.399700E-02   0.000000E+00   1.797693+308
     7751         63  -1.404260E-01  -3.884410E-03   3.534120E-02   0.000000E+00   1.797693+308
     7751         64  -1.390050E-01  -4.907120E-03   3.699790E-02   0.000000E+00   1.797693+308
     5270         65  -1.472080E-01  -1.762440E-02   4.665190E-02   0.000000E+00   1.797693+308
     5776         66  -1.500960E-01  -1.750090E-02   4.654270E-02   0.000000E+00   1.797693+308
      932         67  -1.528290E-01  -1.679440E-02   4.591760E-02   0.000000E+00   1.797693+308
     5480         68  -1.552040E-01  -1.555800E-02   4.482380E-02   0.000000E+00   1.797693+308
     5479         69  -1.570410E-01  -1.388470E-02   4.334350E-02   0.000000E+00   1.797693+308
     1042         70  -1.582010E-01  -1.190070E-02   4.158830E-02   0.000000E+00   1.797693+308
     7027         71  -1.585980E-01  -9.755070E-03   3.969010E-02   0.000000E+00   1.797693+308
     7992         72  -1.582010E-01  -7.609490E-03   3.779200E-02   0.000000E+00   1.797693+308
    19157         73  -1.570410E-01  -5.625410E-03   3.603670E-02   0.000000E+00   1.797693+308
     2725         74  -1.552040E-01  -3.952190E-03   3.455640E-02   0.000000E+00   1.797693+308
     2709         75  -1.528290E-01  -2.715780E-03   3.346260E-02   0.000000E+00   1.797693+308
     1846         76  -1.500960E-01  -2.009240E-03   3.283760E-02   0.000000E+00   1.797693+308
     4768         77  -1.472080E-01  -1.885750E-03   3.272830E-02   0.000000E+00   1.797693+308
     1053         78  -1.533910E-01  -2.516920E-02   2.226660E-02   0.000000E+00   1.797693+308
     6766         79  -1.526760E-01  -2.716670E-02   2.403380E-02   7.495806E-07   1.797693+308
    18058         80  -1.507240E-01  -2.862900E-02   2.532740E-02   1.000000E+00   1.124230E+03
    19043         81  -1.480570E-01  -2.916430E-02   2.580090E-02   1.000000E+00   2.073306E-01
    16745         82  -1.453900E-01  -2.862900E-02   2.532740E-02   1.000000E+00   1.524220E-01
    16745         83  -1.434370E-01  -2.716670E-02   2.403380E-02   1.000000E+00   1.235734E-01
     6173         84  -1.427230E-01  -2.516920E-02   2.226660E-02   1.000000E+00   1.479113E-01
     6877         85  -1.434370E-01  -2.317170E-02   2.049950E-02   1.000000E+00   1.718343E-01
     4921         86  -1.453900E-01  -2.170940E-02   1.920580E-02   1.000000E+00   2.134744E-01
     8585         87  -1.480570E-01  -2.117420E-02   1.873230E-02   1.000000E+00   7.191847E+02
      903         88  -1.507240E-01  -2.170940E-02   1.920580E-02   1.000000E+00   6.796924E+04
     4684         89  -1.526760E-01  -2.317170E-02   2.049950E-02   0.000000E+00   1.797693+308
     5591         90  -1.560580E-01   1.903120E-02  -6.357300E-03   0.000000E+00   1.797693+308
    11581         91  -1.555170E-01   1.686640E-02  -4.442190E-03   0.000000E+00   1.797693+308
    14627         92  -1.539690E-01   1.499400E-02  -2.785730E-03   0.000000E+00   1.797693+308
     4927         93  -1.516230E-01   1.366690E-02  -1.611630E-03   0.000000E+00   1.797693+308
     4777         94  -1.487950E-01   1.306420E-02  -1.078460E-03   0.000000E+00   1.797693+308
     6199         95  -1.458670E-01   1.326740E-02  -1.258220E-03   0.000000E+00   1.797693+308
     2126         96  -1.432350E-01   1.424900E-02  -2.126650E-03   0.000000E+00   1.797693+308
     2133         97  -1.412540E-01   1.587650E-02  -3.566440E-03   0.000000E+00   1.797693+308
    20224         98  -1.401920E-01   1.793010E-02  -5.383160E-03   0.000000E+00   1.797693+308
     7720         99  -1.401920E-01   2.013230E-02  -7.331440E-03   0.000000E+00   1.797693+308
     7718        100  -1.412540E-01   2.218590E-02  -9.148160E-03   0.000000E+00   1.797693+308
     7717        101  -1.432350E-01   2.381330E-02  -1.058800E-02   0.000000E+00   1.797693+308
     4824        102  -1.458670E-01   2.479500E-02  -1.145640E-02   0.000000E+00   1.797693+308
    17726        103  -1.487950E-01   2.499820E-02  -1.163610E-02   0.000000E+00   1.797693+308
     6857        104  -1.516230E-01   2.439550E-02  -1.110300E-02   0.000000E+00   1.797693+308
    13585        105  -1.539690E-01   2.306830E-02  -9.928870E-03   0.000000E+00   1.797693+308
     8626        106  -1.555170E-01   2.119590E-02  -8.272410E-03   0.000000E+00   1.797693+308
    11442        107  -1.443850E-01   1.331370E-02   2.092090E-03   0.000000E+00   1.797693+308
    11443        108  -1.471870E-01   1.284620E-02   2.505730E-03   0.000000E+00   1.797693+308
    20295        109  -1.500530E-01   1.296220E-02   2.403120E-03   0.000000E+00   1.797693+308
    14621        110  -1.527720E-01   1.365310E-02   1.791890E-03   0.000000E+00   1.797693+308
    14625        111  -1.551400E-01   1.486770E-02   7.173640E-04   0.000000E+00   1.797693+308
     6183        112  -1.569840E-01   1.651590E-02  -7.407680E-04   0.000000E+00   1.797693+308
     6184        113  -1.581650E-01   1.847550E-02  -2.474360E-03   0.000000E+00   1.797693+308
     5597        114  -1.585970E-01   2.060110E-02  -4.354840E-03   0.000000E+00   1.797693+308
     5592        115  -1.582460E-01   2.273510E-02  -6.242740E-03   0.000000E+00   1.797693+308
     5361        116  -1.571410E-01   2.471920E-02  -7.998050E-03   0.000000E+00   1.797693+308
    20310        117  -1.553610E-01   2.640630E-02  -9.490580E-03   0.000000E+00   1.797693+308
     5230        118  -1.530400E-01   2.767120E-02  -1.060960E-02   0.000000E+00   1.797693+308
     6852        119  -1.503490E-01   2.842020E-02  -1.127220E-02   0.000000E+00   1.797693+308
    18671        120  -1.474880E-01   2.859760E-02  -1.142920E-02   0.000000E+00   1.797693+308
    13560        121  -1.446690E-01   2.819040E-02  -1.106890E-02   0.000000E+00   1.797693+308
     7756        122  -1.421020E-01   2.722870E-02  -1.021810E-02   0.000000E+00   1.797693+308
     4122        123  -1.399760E-01   2.578380E-02  -8.939880E-03   0.000000E+00   1.797693+308
     6841        124  -1.384490E-01   2.396300E-02  -7.329020E-03   0.000000E+00   1.797693+308
     6840        125  -1.376350E-01   2.190120E-02  -5.504990E-03   0.000000E+00   1.797693+308
    11470        126  -1.375940E-01   1.975130E-02  -3.603090E-03   0.000000E+00   1.797693+308
