# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
      1.   8547.  0.628318E-02 -0.119103E-01  0.281508E-01  0.293606E+08  0.824172E+08  0.657466E+07 -0.326694E+08  0.971888E+07 -0.955806E+07
      1.   9736.  0.424529E-02 -0.120732E-01  0.255475E-01  0.306925E+08  0.924351E+08  0.438322E+07 -0.281914E+08  0.877806E+07 -0.130693E+08
      1.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.261824E+08  0.779167E+08  0.580747E+07 -0.294034E+08  0.752850E+07 -0.942556E+07
      1.  10611.  0.903531E-02 -0.126953E-01  0.250855E-01  0.245510E+08  0.794836E+08  0.659055E+06 -0.171819E+08  0.137616E+07 -0.106520E+08
      2.   2507.  0.434602E-02 -0.122675E-01  0.291420E-01  0.544618E+08  0.656886E+08  0.137756E+08 -0.579919E+08  0.198619E+08 -0.203426E+08
      2.   8547.  0.628318E-02 -0.119103E-01  0.281508E-01  0.400191E+08  0.736983E+08  0.103218E+08 -0.464315E+08  0.153210E+08 -0.134551E+08
      2.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.351041E+08  0.728927E+08  0.942757E+07 -0.408055E+08  0.131841E+08 -0.116506E+08
      2.  11921.  0.416804E-02 -0.105519E-01  0.293615E-01  0.488162E+08  0.626817E+08  0.118661E+08 -0.523154E+08  0.145014E+08 -0.169744E+08
      3.   2507.  0.434602E-02 -0.122675E-01  0.291420E-01  0.518241E+08  0.758557E+08  0.129760E+08 -0.552562E+08  0.224797E+08 -0.209026E+08
      3.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.305290E+08  0.757828E+08  0.770403E+07 -0.389970E+08  0.128653E+08 -0.114120E+08
      3.   8547.  0.628318E-02 -0.119103E-01  0.281508E-01  0.375873E+08  0.805268E+08  0.100558E+08 -0.436599E+08  0.164347E+08 -0.127385E+08
      3.   9736.  0.424529E-02 -0.120732E-01  0.255475E-01  0.338968E+08  0.864714E+08  0.694254E+07 -0.425148E+08  0.175774E+08 -0.160301E+08
      4.   2507.  0.434602E-02 -0.122675E-01  0.291420E-01  0.490406E+08  0.610112E+08  0.953695E+07 -0.588700E+08  0.213490E+08 -0.247292E+08
      4.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.368023E+08  0.714846E+08  0.101522E+08 -0.443218E+08  0.136135E+08 -0.135926E+08
      4.   8429.  0.233033E-02 -0.110240E-01  0.270750E-01  0.385244E+08  0.655786E+08  0.100831E+08 -0.503826E+08  0.217788E+08 -0.228677E+08
      4.  11921.  0.416804E-02 -0.105519E-01  0.293615E-01  0.440935E+08  0.586830E+08  0.939264E+07 -0.536575E+08  0.158566E+08 -0.201251E+08
      5.   9736.  0.424529E-02 -0.120732E-01  0.255475E-01  0.296082E+08  0.959818E+08  0.471508E+07 -0.257729E+08  0.407853E+07 -0.121940E+08
      5.  10773.  0.202385E-02 -0.106733E-01  0.234571E-01  0.284387E+08  0.962038E+08  0.232419E+07 -0.236047E+08 -0.110427E+07 -0.105303E+08
      5.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.219700E+08  0.760934E+08  0.241574E+07 -0.258605E+08  0.396821E+07 -0.780390E+07
      5.  10855.  0.611174E-02 -0.863235E-02  0.236291E-01  0.184340E+08  0.684848E+08 -0.292639E+07 -0.142224E+08 -0.516219E+07 -0.568614E+07
      6.   8429.  0.233033E-02 -0.110240E-01  0.270750E-01  0.328679E+08  0.817137E+08  0.681996E+07 -0.415982E+08  0.212862E+08 -0.183856E+08
      6.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.273895E+08  0.783580E+08  0.452675E+07 -0.336471E+08  0.116555E+08 -0.113076E+08
      6.   9736.  0.424529E-02 -0.120732E-01  0.255475E-01  0.331234E+08  0.973059E+08  0.512831E+07 -0.335403E+08  0.117589E+08 -0.149516E+08
      6.  10773.  0.202385E-02 -0.106733E-01  0.234571E-01  0.282724E+08  0.100799E+09  0.307901E+07 -0.270494E+08  0.236314E+07 -0.119619E+08
      7.   8448.  0.404641E-02 -0.862806E-02  0.301833E-01  0.345705E+08  0.484890E+08  0.806620E+07 -0.482754E+08  0.625214E+07 -0.112940E+08
      7.  11639.  0.169945E-02 -0.911201E-02  0.285439E-01  0.310344E+08  0.483039E+08  0.823108E+07 -0.483526E+08  0.114026E+08 -0.158833E+08
      7.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.311522E+08  0.617506E+08  0.767198E+07 -0.425300E+08  0.890061E+07 -0.102710E+08
