# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
       1.     332. -6.291580E-02 -9.508000E-03  8.005970E-02  5.418054E+08 -8.011976E+08  1.636218E+09 -1.697489E+08  1.942865E+09 -3.521947E+07
       1.     983. -5.656580E-02 -1.174490E-02  8.061110E-02  5.390994E+08 -2.164939E+08  1.804718E+09 -1.696321E+08  2.257172E+09 -5.727078E+07
       1.     363. -5.656580E-02 -9.508000E-03  8.005970E-02  5.447637E+08 -7.672925E+08  1.665473E+09 -1.756106E+08  1.959157E+09 -4.466315E+07
       1.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
       2.     344. -5.593080E-02 -1.412530E-02  8.124150E-02  5.629391E+08  3.840757E+08  2.195055E+09 -1.713107E+08  2.629893E+09 -7.398624E+07
       2.     964. -5.593080E-02 -1.166840E-02  8.124150E-02  5.393314E+08 -1.906011E+08  1.803014E+09 -1.690928E+08  2.259720E+09 -5.847052E+07
       2.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
       2.    2044. -5.766710E-02 -1.153280E-02  8.409630E-02  5.269962E+08 -8.065424E+07  1.721795E+09 -1.638824E+08  2.238401E+09 -5.681082E+07
       3.     344. -5.593080E-02 -1.412530E-02  8.124150E-02  5.629391E+08  3.840757E+08  2.195055E+09 -1.713107E+08  2.629893E+09 -7.398624E+07
       3.     964. -5.593080E-02 -1.166840E-02  8.124150E-02  5.393314E+08 -1.906011E+08  1.803014E+09 -1.690928E+08  2.259720E+09 -5.847052E+07
       3.     983. -5.656580E-02 -1.174490E-02  8.061110E-02  5.390994E+08 -2.164939E+08  1.804718E+09 -1.696321E+08  2.257172E+09 -5.727078E+07
       3.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
       4.     645. -6.355080E-02 -8.942180E-03  8.845860E-02  5.125875E+08 -2.758955E+08  1.528447E+09 -1.585872E+08  1.939106E+09 -4.073939E+07
       4.     646. -6.355080E-02 -1.352700E-02  8.889290E-02  5.225267E+08  2.888498E+08  1.852703E+09 -1.574306E+08  2.382795E+09 -5.760176E+07
       4.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
       4.    1221. -5.978410E-02 -1.144050E-02  8.884430E-02  5.075742E+08  5.977170E+07  1.605272E+09 -1.567568E+08  2.179878E+09 -5.203818E+07
       5.     645. -6.355080E-02 -8.942180E-03  8.845860E-02  5.125875E+08 -2.758955E+08  1.528447E+09 -1.585872E+08  1.939106E+09 -4.073939E+07
       5.     944. -6.355080E-02 -1.166840E-02  8.124150E-02  5.362238E+08 -2.228586E+08  1.778782E+09 -1.647245E+08  2.254600E+09 -4.890847E+07
       5.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
       5.     646. -6.355080E-02 -1.352700E-02  8.889290E-02  5.225267E+08  2.888498E+08  1.852703E+09 -1.574306E+08  2.382795E+09 -5.760176E+07
       6.     645. -6.355080E-02 -8.942180E-03  8.845860E-02  5.125875E+08 -2.758955E+08  1.528447E+09 -1.585872E+08  1.939106E+09 -4.073939E+07
       6.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
       6.    1842. -5.966220E-02 -7.974350E-03  8.296490E-02  5.404328E+08 -7.838579E+08  1.571265E+09 -1.710857E+08  1.829307E+09 -3.744076E+07
       6.    1221. -5.978410E-02 -1.144050E-02  8.884430E-02  5.075742E+08  5.977170E+07  1.605272E+09 -1.567568E+08  2.179878E+09 -5.203818E+07
