# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
      1.    409. -0.527558E-01  0.276506E-01  0.405710E-01 -0.101310E+08  0.494484E+06  0.156386E+07  0.196759E+07 -0.789315E+06 -0.590394E+06
      1.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.100675E+08  0.446227E+06  0.860324E+06  0.232364E+07 -0.259071E+06  0.184804E+06
      1.    831. -0.575917E-01  0.222787E-01  0.398878E-01 -0.102180E+08 -0.218417E+05  0.252702E+07  0.207076E+07  0.285477E+05 -0.112185E+07
      1.    966. -0.562626E-01  0.271862E-01  0.342070E-01 -0.110935E+08  0.813464E+05  0.235696E+07  0.126370E+07 -0.298246E+05 -0.356276E+06
      2.    606. -0.527558E-01  0.225014E-01  0.420962E-01 -0.114009E+08 -0.218781E+06 -0.464645E+06  0.360262E+07 -0.358376E+06 -0.110061E+06
      2.    831. -0.575917E-01  0.222787E-01  0.398878E-01 -0.993964E+07  0.127992E+06  0.113990E+07  0.234336E+07 -0.590928E+06 -0.274644E+06
      2.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.106303E+08 -0.230856E+06 -0.469604E+06  0.312478E+07 -0.116957E+06  0.168012E+06
      2.    948. -0.516508E-01  0.191848E-01  0.402369E-01 -0.106112E+08 -0.279367E+06 -0.702721E+06  0.293569E+07  0.253080E+05 -0.172753E+06
      3.    409. -0.527558E-01  0.276506E-01  0.405710E-01 -0.105096E+08 -0.176931E+06 -0.212700E+06  0.246304E+07 -0.527604E+06 -0.206924E+06
      3.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.104488E+08  0.814131E+05 -0.178247E+06  0.296765E+07 -0.178922E+06  0.138181E+06
      3.    606. -0.527558E-01  0.225014E-01  0.420962E-01 -0.114557E+08  0.375093E+05 -0.373889E+06  0.365760E+07 -0.491065E+06 -0.416945E+04
      3.    831. -0.575917E-01  0.222787E-01  0.398878E-01 -0.969512E+07  0.517584E+06  0.172530E+07  0.225631E+07 -0.468184E+06 -0.323483E+06
      4.    606. -0.527558E-01  0.225014E-01  0.420962E-01 -0.126461E+08 -0.431526E+06 -0.539055E+06  0.387862E+07 -0.159240E+06  0.269459E+06
      4.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.100680E+08  0.205973E+06 -0.257154E+05  0.312496E+07 -0.789761E+05  0.648146E+06
      4.    617. -0.477659E-01  0.232224E-01  0.418826E-01 -0.864154E+07  0.102631E+07  0.548099E+06  0.307956E+07 -0.158741E+06  0.280218E+06
      4.    948. -0.516508E-01  0.191848E-01  0.402369E-01 -0.106231E+08  0.167036E+05 -0.238416E+06  0.308642E+07  0.153815E+06  0.391788E+06
      5.    606. -0.527558E-01  0.225014E-01  0.420962E-01 -0.114346E+08  0.715966E+06  0.247885E+06  0.327205E+07 -0.106364E+06 -0.893206E+05
      5.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.923098E+07  0.644767E+06  0.482842E+06  0.279352E+07 -0.109608E+06  0.431522E+06
      5.    618. -0.494562E-01  0.254365E-01  0.412268E-01 -0.842369E+07  0.363762E+06  0.382158E+06  0.310274E+07 -0.568970E+06  0.334146E+06
      5.    617. -0.477659E-01  0.232224E-01  0.418826E-01 -0.870016E+07 -0.354735E+05  0.167300E+06  0.336667E+07 -0.517692E+06  0.410044E+06
      6.    617. -0.477659E-01  0.232224E-01  0.418826E-01 -0.986792E+07 -0.763201E+05  0.123902E+06  0.327954E+07 -0.491772E+06  0.112372E+07
      6.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.942450E+07  0.171713E+06  0.382338E+06  0.287098E+07 -0.193684E+05  0.772585E+06
      6.    895. -0.499739E-01  0.181069E-01  0.346190E-01 -0.987996E+07 -0.644616E+06 -0.512281E+06  0.226920E+07  0.594552E+06  0.919755E+06
      6.    948. -0.516508E-01  0.191848E-01  0.402369E-01 -0.103733E+08 -0.195863E+06 -0.174478E+06  0.282042E+07  0.263222E+06  0.694999E+06
      7.    612. -0.489676E-01  0.301029E-01  0.367220E-01 -0.821791E+07  0.844088E+06  0.770889E+06  0.170325E+07 -0.730791E+06  0.185942E+07
      7.    617. -0.477659E-01  0.232224E-01  0.418826E-01 -0.889278E+07 -0.360569E+05  0.602712E+06  0.298879E+07 -0.622150E+06  0.116366E+07
      7.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.921994E+07  0.975062E+05  0.324026E+06  0.250266E+07 -0.161447E+06  0.113079E+07
      7.    895. -0.499739E-01  0.181069E-01  0.346190E-01 -0.890537E+07 -0.417540E+06 -0.336145E+05  0.203967E+07  0.409629E+06  0.100308E+07
      8.    409. -0.527558E-01  0.276506E-01  0.405710E-01 -0.995904E+07  0.109103E+06  0.712592E+06  0.161718E+07 -0.654419E+06  0.596600E+05
      8.    612. -0.489676E-01  0.301029E-01  0.367220E-01 -0.913658E+07  0.918265E+06  0.133993E+07  0.126068E+07 -0.663292E+06  0.910225E+06
      8.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.960208E+07  0.302238E+06  0.380126E+06  0.202576E+07 -0.230777E+06  0.674728E+06
      8.    966. -0.562626E-01  0.271862E-01  0.342070E-01 -0.103160E+08  0.427738E+06  0.233409E+07  0.111868E+07 -0.184069E+06 -0.113607E+05
      9.    409. -0.527558E-01  0.276506E-01  0.405710E-01 -0.886862E+07  0.326931E+06  0.498355E+06  0.202194E+07 -0.563782E+06  0.332403E+06
      9.    612. -0.489676E-01  0.301029E-01  0.367220E-01 -0.537395E+07  0.202308E+07  0.118957E+07  0.578485E+06 -0.159508E+07  0.167403E+07
      9.    440. -0.511465E-01  0.276506E-01  0.405710E-01 -0.692179E+07  0.887481E+06  0.856480E+06  0.162634E+07 -0.977095E+06  0.777724E+06
      9.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.896701E+07  0.480445E+06  0.465876E+06  0.232297E+07 -0.253354E+06  0.926689E+06
     10.    612. -0.489676E-01  0.301029E-01  0.367220E-01 -0.102972E+08  0.157008E+06  0.102720E+07  0.188203E+07 -0.332238E+06  0.179942E+07
     10.    895. -0.499739E-01  0.181069E-01  0.346190E-01 -0.822554E+07 -0.180727E+05  0.517483E+06  0.169813E+07  0.708806E+06  0.898387E+06
